"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage""Inbetriebnahmedatum der KWK-Anlage""Elektrische KWK-Leistung""Thermische Nutzleistung in kW"
"SEE978389475514";"WEA01";"In Betrieb";"Wind";"3300";"3300";"14.3.2016";"4.2.2019";"Rheinland-Pfalz";"56761";"Kaifenheim";"";"";"Kaifenheim";"Flur 3. Flurstück 158/1";"07135043";"50,252081";"7,239221";"";"";"WP Kaifenheim";"119";"112";"Vestas Deutschland GmbH";"V112-3.3MW";"";"";"Horizontalläufer";"Windkraft an Land";"12.8.2021";"";"";"Windpark Kaifenheim GmbH & Co. KG";"ABR954798847937";"Volleinspeisung";"SGE988486129500";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL999718710670";"EEG969964265811";"E31238010000000000000029577072006";"14.3.2016";"";""""""""
"SEE962097502426";"KROWI";"In Betrieb";"Wind";"250";"250";"29.11.1994";"4.2.2019";"Rheinland-Pfalz";"57612";"Giesenhausen";"";"";"Kroppach";"Flur 12: 21";"07143225";"50,694";"7,725945";"";"";"KROWI";"42";"30";"Fuhrländer AG";"FUH15 G1 D250";"";"";"Horizontalläufer";"Windkraft an Land";"8.3.2020";"";"";"Alternative Energie Kroppacher Schweiz GmbH & Co. KG";"ABR927900758889";"Volleinspeisung";"";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Mittelspannung";"SEL976371599576";"EEG964589147269";"E31102010000000000001274253800001";"1.1.2000";"";""""""""
"SEE901953720864";"WEA V90 Gilzem";"In Betrieb";"Wind";"2000";"2000";"29.8.2013";"1.2.2019";"Rheinland-Pfalz";"54298";"Gilzem";"";"";"Gilzem";"Flur 4, 57";"07232065";"49,103025";" -4,194624";"";"";"WP-Gilzem";"105";"90";"Vestas Deutschland GmbH";"V90";"";"";"Horizontalläufer";"Windkraft an Land";"2.7.2021";"";"";"EBG Eifel Baugesellschaft mbH";"ABR911926145853";"Volleinspeisung";"SGE975954317828";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL994508807370";"EEG999811867899";"E31238010000000000000031719600309";"29.8.2013";"";""""""""
"SEE960287756734";"WEA02";"In Betrieb";"Wind";"3300";"3300";"17.3.2016";"4.2.2019";"Rheinland-Pfalz";"56761";"Kaifenheim";"";"";"Kaifenheim";"Flur 3. Flurstück 136";"07135043";"50,389202";"7,238948";"";"";"WP Kaifenheim";"119";"112";"Vestas Deutschland GmbH";"V112-3.3MW";"";"";"Horizontalläufer";"Windkraft an Land";"12.8.2021";"";"";"Windpark Kaifenheim GmbH & Co. KG";"ABR954798847937";"Volleinspeisung";"SGE988486129500";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL999718710670";"EEG975658127976";"E31238010000000000000029577072007";"17.3.2016";"";""""""""
"SEE908999761141";"WEA03";"In Betrieb";"Wind";"3300";"3300";"29.3.2016";"4.2.2019";"Rheinland-Pfalz";"56761";"Kaifenheim";"";"";"Kaifenheim";"Flur 6. Flurstück 39";"07135043";"50,246862";"7,243275";"";"";"WP Kaifenheim";"94";"112";"Vestas Deutschland GmbH";"V112-3.3MW";"";"";"Horizontalläufer";"Windkraft an Land";"12.8.2021";"";"";"Windpark Kaifenheim GmbH & Co. KG";"ABR954798847937";"Volleinspeisung";"SGE988486129500";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung";"SEL999718710670";"EEG955540002932";"E31238010000000000000029577072009";"29.3.2016";"";""""""""
"SEE904475933163";"Braun Antaris 2,5 kW";"In Betrieb";"Wind";"3";"3";"7.6.2018";"10.4.2019";"Rheinland-Pfalz";"57583";"Nauroth";"";"";"";"13 85/1";"07132073";"";"";"";"";"Betriebs- und Wertstoffhof Nauroth";"10";"3";"BRAUN Windturbinen GmbH";"Antaris 2,5 kW";"";"";"Horizontalläufer";"Windkraft an Land";"28.5.2019";"";"";"Abfallwirtschaftsbetrieb Landkreis Altenkirchen";"ABR940697112702";"Teileinspeisung";"";"EAM Netz GmbH (SNB971311555230)";"SNB971311555230";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL979929887484";"EEG921581535852";"";"7.6.2018";"";""""""""
"SEE986633529210";"WEA04";"In Betrieb";"Wind";"3600";"3600";"2.2.2019";"4.2.2019";"Rheinland-Pfalz";"55758";"Sien";"";"";"Sien";"Flur 3, Flurstück 108";"07134082";"49,68639";"7,521022";"";"";"Windpark Sien GmbH & Co. KG";"149";"136";"Vestas Deutschland GmbH";"V136";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Windpark Sien GmbH & Co. KG";"ABR992438503836";"";"SGE951862304440";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung; Mittelspannung";"SEL996856676394";"EEG974350308324";"E3123801W000000000003160841212100";"2.2.2019";"WIN18-1/097";""""""""
"SEE907018034945";"824598";"In Betrieb";"Wind";"2300";"2300";"9.11.2012";"4.2.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Dorn-Dürkheim";"Flur 6 Flurstück 120";"07339201";"49,754202";"8,280162";"";"";"";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"15.7.2021";"";"";"EWR Neue Energien GmbH";"ABR936326068908";"Volleinspeisung";"SGE955293194212";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL934067685835";"EEG917905399231";"E31238010000000000000020589068586";"9.11.2012";"";""""""""
"SEE995385162583";"WEA_Leiningen_01";"In Betrieb";"Wind";"3170";"3170";"24.3.2018";"19.3.2019";"Rheinland-Pfalz";"56291";"Leiningen";"";"";"Leiningen";"Flur2: 25/3";"07140014";"50,13803";"7,587343";"";"";"WP Leiningen";"143";"114";"Senvion Deutschland GmbH";"SEN 3.2M114";"";"";"Horizontalläufer";"Windkraft an Land";"6.7.2021";"";"";"WP Leiningen GmbH & Co. KG";"ABR963493862602";"Volleinspeisung";"SGE916447658660";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL938825413098";"EEG998988076615";"E3123801W000000000003528601167290";"24.3.2018";"";""""""""
"SEE979124834658";"WEA05";"In Betrieb";"Wind";"3600";"3600";"31.12.2018";"13.2.2019";"Rheinland-Pfalz";"55758";"Sien";"";"";"Sien";"Flur 4; Flurstück 53";"07134082";"49,683209";"7,519205";"";"";"Windpark Sien GmbH & Co. KG";"149";"136";"Vestas Deutschland GmbH";"V136";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Windpark Sien GmbH & Co. KG";"ABR992438503836";"";"SGE934205469969";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung; Mittelspannung";"SEL996856676394";"EEG953309210857";"E3123801W000000000003160841212099";"31.12.2018";"WIN18-1/097";""""""""
